名称	组	配置文件	已启用	操作	替代	程序	本地地址	远程地址	协议	本地端口	远程端口	授权的用户	授权的计算机	授权的本地主体	本地用户所有者	应用程序包	
TenioDL游戏下载组件		公用	是	允许	否	C:\Users\74330\AppData\Roaming\Tencent\英雄联盟\C2CE7D8E06248BE88DE9386EAC8984E5\TenioDL\TenioDL.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
TGP tcls\tcls_core.exe		公用	是	允许	否	D:\腾讯\tcls\tcls_core.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
TGP tcls\tcls_core.exe		公用	是	允许	否	D:\腾讯\tcls\tcls_core.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
TGP tcls\Tenio\TenioDL\TenioDL.exe		公用	是	允许	否	D:\腾讯\tcls\Tenio\TenioDL\TenioDL.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
TGP tcls\Tenio\TenioDL\TenioDL.exe		公用	是	允许	否	D:\腾讯\tcls\Tenio\TenioDL\TenioDL.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
TGP tgp_daemon.exe		公用	是	允许	否	D:\腾讯\tgp_daemon.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
TGP tgp_daemon.exe		公用	是	允许	否	D:\腾讯\tgp_daemon.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
TGP游戏助手		公用	是	允许	否	D:\腾讯\apps\CrossUpdate\CrossUpdate.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
TGP游戏助手		公用	是	允许	否	D:\腾讯\apps\CrossUpdate\CrossUpdate.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
TGP游戏助手		专用	是	允许	否	D:\腾讯\apps\CrossUpdate\CrossUpdate.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
TGP游戏助手		专用	是	允许	否	D:\腾讯\apps\CrossUpdate\CrossUpdate.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
Thunder7.10.35.366		公用	是	允许	否	D:\迅雷\Program\Thunder.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
Thunder7.10.35.366		公用	是	允许	否	D:\迅雷\Program\Thunder.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
ThunderLAN(TCP)		专用, 公用	是	允许	否	任何	任何	任何	TCP	33673	任何	任何	任何	任何	任何	任何	
ThunderLAN(UDP)		专用, 公用	是	允许	否	任何	任何	任何	UDP	33674	任何	任何	任何	任何	任何	任何	
ThunderPlatform1.1.2.266		公用	是	允许	否	C:\Program Files (x86)\Common Files\Thunder Network\TP\Ver1\1.1.2.266_1111\ThunderPlatform.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
ThunderPlatform1.1.2.266		公用	是	允许	否	C:\Program Files (x86)\Common Files\Thunder Network\TP\Ver1\1.1.2.266_1111\ThunderPlatform.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
TInst		所有	是	允许	否	D:\TxGameAssistant\AppMarket\TInst.exe	任何	任何	任何	任何	任何	任何	任何	任何	任何	任何	
TInst		所有	是	允许	否	D:\TxGameAssistant\UI\TInst.exe	任何	任何	任何	任何	任何	任何	任何	任何	任何	任何	
TInst		所有	是	允许	否	D:\TxGameAssistant\AppMarket\TInst.exe	任何	任何	任何	任何	任何	任何	任何	任何	任何	任何	
TInst		所有	是	允许	否	D:\TxGameAssistant\UI\TInst.exe	任何	任何	任何	任何	任何	任何	任何	任何	任何	任何	
Tomb Raider		所有	是	允许	否	D:\Steam\steamapps\common\Tomb Raider\TombRaider.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
Tomb Raider		所有	是	允许	否	D:\Steam\steamapps\common\Tomb Raider\TombRaider.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
Trine 2		所有	是	允许	否	D:\Steam\steamapps\common\Trine 2\trine2_launcher.exe	任何	任何	TCP	任何	任何	任何	任何	任何	任何	任何	
Trine 2		所有	是	允许	否	D:\Steam\steamapps\common\Trine 2\trine2_launcher.exe	任何	任何	UDP	任何	任何	任何	任何	任何	任何	任何	
TUpdate		所有	是	允许	否	D:\TxGameAssistant\AppMarket\GF186\TUpdate.exe	任何	任何	任何	任何	任何	任何	任何	任何	任何	任何	
TUpdate		所有	是	允许	否	D:\TxGameAssistant\AppMarket\GF186\TUpdate.exe	任何	任何	任何	任何	任何	任何	任何	任何	任何	任何	
